,device_id,repeat
160,a6lts-5oqcb-qcaue-6czg4-8f0gl,1
161,0t805-3oe46-kcnbm-9u70o-z9ed5,1
162,6pk7t-v2osx-wnnjm-xz2oy-av2fx,1
163,4pqq4-2wmh0-p4crv-ejnfr-tr2yi,1
164,5q47o-dpdw0-3yzv4-yaysp-fblfb,1
165,vcmdv-o7rzq-6drv6-1cwho-sem55,1
166,euv24-c6ko2-kumdr-tvyqd-slal1,1
167,coeex-auqru-l8177-8otvf-30pvj,1
168,5r3v2-4v6do-3wa00-wtkpp-yhc9w,1
169,gte9p-rby1h-1f0xw-ekfsq-cdmmg,1
170,p4ltm-x6t7g-w8o5e-u4wz0-r8m9a,1
171,ho52o-njgae-l76uy-08awb-q70oa,1
172,0h92l-gjiep-8s6hc-jux6o-jfluj,1
173,wken5-k72nx-udg5r-ix0tw-qnmlo,1
174,s07gc-w5s4r-hlyel-uzffa-p9r54,1
175,k3czb-090ke-xjqw2-e4fkx-09i14,1
176,lztts-tmq84-85qgb-1dol7-57okf,1
177,qgbi7-5uj5i-ymo0y-zei3i-2zbn4,1
178,fujl9-iayjv-ddbki-lctvi-7yqdo,1
179,e05c2-1ovjp-jkuha-0e74c-x50f1,1
180,538vx-zzmrv-dsw5e-c1uco-p134j,1
181,cg0p3-a1jyc-k1imv-ihnqv-t8bgc,1
182,jr6rv-mvwhk-ysnel-hpk0a-w543o,1
183,awoqi-e946p-z2a11-m51g8-qmbw0,1
184,3olme-67dab-atufv-tt6aw-xnqm5,1
185,8vld5-o5fxo-1xr7b-o2gmb-ceg2z,1
186,dn5s7-mwb5u-j57r2-dlt2h-tmyxr,1
187,8r1q8-29vfi-mfx8c-63k50-zhtjs,1
188,oqoiw-hc0jo-h44eq-wwq6d-1h9d7,1
189,mfvzl-02acr-xxhz4-tlswm-i6pxh,1
190,tgemq-8extm-lrc43-d5rpw-l3hv0,1
191,z4ake-i2xqf-ubclg-1jwjf-6r5g5,1
192,5aiaq-s3x4f-f0wuc-03vbu-r51wu,1
193,htcae-dc4dz-t2aau-bcfut-mvg5h,1
194,044k5-msfar-pp1lx-zwg9k-uzlvp,1
195,75f9u-zny6r-ejihf-inx1c-yfqjn,1
196,m2821-mmy0r-4g1hu-ei1gh-lwzsl,1
197,7um1f-vvyir-l6hrz-k1v5m-hrexk,1
198,h1gxr-2s9sm-mxyq8-13zfo-f9pe0,1
199,lm4wf-6mo9o-uj11s-c1q0u-1krcn,1
200,zbi6t-hnkpv-5x2lq-aj0xk-okufe,1
201,p4g5i-eymnt-7a1d8-h9pmq-qc62s,1
202,vlupt-qyh8h-cup6n-sgdb3-z6zzo,1
203,8rxs3-7lse6-39vnk-oqyi3-r232s,1
204,1uo46-1fxfy-qsut9-dk87n-ds8t0,1
205,d8ejx-0fmkj-ixphb-b58y7-4eugr,1
206,uqnkt-jfy3a-dq6kz-vho96-j70k6,1
207,jk0r6-wmtdz-8g1ze-e7l34-hrmp0,1
208,7ry58-r0fkc-t3jcu-k4gs9-st73x,1
209,gae38-htifg-f7jo2-2zoow-roa20,1
210,73gqx-dou8x-fcrm2-jasi4-u15po,1
211,45rpn-8tvtd-2ya44-5jadq-cbwca,1
212,n33ts-sww90-1xbck-6uu8d-kmf09,1
213,92otr-b0dqg-8nnvp-8venr-25nz2,1
214,ia1ac-6xkr1-yqqug-lnpu7-las7p,1
215,74ltj-9yu6l-9bvg0-7zgb9-3qi1c,1
216,m2mcj-hne7t-119rs-nmu6g-pozzk,1
217,5laan-f2hi0-z18pu-xcofr-bwleo,1
218,o7ndc-2skqv-se7o3-xr0l9-q5jr2,1
219,jk2vk-7tb4n-4jxh5-xvl0e-xn7je,1
220,j3za7-vy60u-4u85z-j5b63-kpeyi,1
221,bjjeg-c1u6w-z78om-a738p-pstg4,1
222,3ft7w-cgr6w-bfr5r-0fajn-27po9,1
223,ehuz6-6q7n0-cex57-l90sz-c0a7u,1
224,gvg0a-hcohi-4jmqq-6e7qf-n99cu,1
225,2ace6-4tqv3-lbd3m-ep3k4-femad,1
226,oild4-6gt7m-yg17x-9yabq-dnjk0,1
227,jadlh-wwz4a-rir49-qtg91-c7613,1
228,e6skt-945xb-3bbml-vgtb2-mlryl,1
229,s7wqk-5a6ne-x22om-1pu0c-g3b9c,1
230,w80bz-rjfto-5u17z-2l3bf-3pcof,1
231,5te1e-l0dot-sdkib-ema1w-lfbhn,1
232,xlfco-ovqci-1xza6-720os-9sf0n,1
233,tpkqd-5nuni-7pq7h-jeft5-dn1nc,1
234,j01mr-1q96p-thw34-j6fk6-dfaft,1
235,bpwg5-03e7f-eykcl-dhnbc-ht48y,1
236,o90rh-cqw7j-vtg9n-006gs-8rr19,1
237,4s0gj-biw3m-i49t7-7id3e-7jay3,1
238,4n67x-85krb-5aelx-mhjrv-45tyo,1
239,i7mjq-8dvji-dhb2g-cgfud-y8v6p,1
240,u6c29-6vwgb-8wbs8-s2r9g-smf0a,1
241,q3gbc-ufzzs-ak78s-8x5ee-hyegi,1
242,cz7kb-4d39q-dcvln-pn5kf-ch2lc,1
243,mmoxt-5vlsj-twid4-bshi2-mfnpx,1
244,hww5i-r7se6-mjrbl-6gk0o-8pavh,1
245,jfut3-l1nbt-gwly0-7lvqa-gwql4,1
246,yw7p8-3ith5-5k8lb-bsirl-573ff,1
247,nhl2k-dppn3-hhxnt-998x6-v5u8w,1
248,jd8hy-afxks-6cw77-nhe2q-r3k8l,1
249,m5t7a-caaxk-vntrs-x3hlm-g544s,1
250,4km0c-mibif-lhp96-keab5-g3cjd,1
251,dvst6-34m4s-e2cd5-69iv6-v90cl,1
252,m7z69-8uebf-nkdcd-sb6r9-pkhiv,1
253,fjnmr-iwr0m-wno13-5lte7-mqtc1,1
254,v9d00-75xue-rcur4-1hxcs-lmmug,1
255,ue945-05dap-wdoqn-v2ymi-n9b52,1
256,q1zww-6jzpu-yc30t-egv28-2568b,1
257,8a5e2-zbmxc-3868t-9wbdy-lpm8d,1
258,2d21r-l999x-whwcp-x5rmg-ly56z,1
259,bnhpt-r2guq-2dq9g-5t2d4-sguus,1
260,jxjdn-q2mjs-ko4a3-n1whs-nks6u,1
261,w884r-vmnyu-hkpxh-27a3v-l0eup,1
262,rw68j-cr8ig-8u9en-bqa3t-sneeg,1
263,lb92j-m09y9-21980-wboaf-a0mzj,1
264,84ofj-oswm4-ll0dn-bi9zg-scagu,1
265,czrot-ykpg6-99gna-jhscp-bxgz7,1
266,v6r7l-v0ncd-jq4el-q7nt3-qsyn3,1
267,1a29y-w1p51-thetf-qe8hq-ytzab,1
268,tm6g1-uwk4v-v3dar-xv2w2-0rqve,1
269,htvwi-ylitg-953cd-rrb9q-fwy2t,1
270,ejx4t-q4jtd-7mzgw-q51uv-89wc8,1
271,opvkz-u9k42-cybhk-s1z54-l247p,1
272,hiytw-biea7-n9574-5cyg1-1ps13,1
273,dpi0c-4lki0-e01qn-3eoee-ko722,1
274,ucizj-m9363-1q1dr-tw6ft-6vlvs,1
275,15nnp-twg1i-c6b2w-0ivam-2w9b4,1
276,8o5rb-gb7c3-y2byo-0llnw-utb2f,1
277,87ll5-60yvn-398j0-exmu6-faw27,1
278,qgrnt-fi6zi-j5dze-g5irb-otixy,1
279,vwjff-6n050-1g6q0-l2835-td4sa,1
280,0614y-svi4h-0wywe-iwxmf-lvbpv,1
281,rcy4m-f2f9p-t4svl-7qsk5-ntx8u,1
282,wny3b-p987c-4javl-bt02u-ypmqr,1
283,17wz8-bjr81-4zz0h-ysclj-q72ms,1
284,4exna-2mw19-ed3e0-gmbgd-401c3,1
285,cjvgc-g2ucr-sun4m-sh67n-ck7q2,1
286,8b0a6-gqgoi-uo135-vlkzo-0cgf5,1
287,ysilj-22mf2-qg6u2-9offq-umfqz,1
288,vknai-1u2nb-zy3rn-ylfsz-h61pt,1
289,u1fis-ckk3n-b3uw4-lbqit-jz0f7,1
290,2jqcz-sv5rj-b4ypk-91i69-nw2hj,1
291,1pz1i-85abn-uh9bn-jc7n7-jhghe,1
292,s6ja9-wpdqt-g4uav-9ipk0-my5bk,1
293,8lvy6-i46ai-anxe0-1qxm0-yxtjq,1
294,ypwtt-vqxcp-txdym-ffjwn-bbm1o,1
295,ds02f-bniht-6nn18-zoadi-03blk,1
296,fvm4k-4q1u3-u9y8f-fznib-9jgn4,1
297,s7d4z-vf5w4-m88ls-ovzu7-6g8st,1
298,bqqdm-pac22-ym9fh-xpc79-st5we,1
299,bjziq-pt19k-uoaut-ejx01-p3zhv,1
300,fl72y-v56vr-4c12a-s5e0b-vn8g9,1
301,g4v5j-7rvu6-rji1g-q5ud6-wcmfv,1
302,prntf-38t7m-kbanw-13mo1-0x2an,1
303,bi4ct-yhstc-g9n3z-ryumn-yjh69,1
304,hfvlh-wk0z8-jcpof-sq0j9-cnzya,1
305,mh501-x5t2f-ji2hn-0yozt-xhwvp,1
306,fp836-jlqcb-aj6si-x8l3w-hhwrp,1
307,0dsvv-5xsdr-961xh-l470r-z8wwo,1
308,4vfoz-bpv78-b0xvp-2fkor-6lxa3,1
309,jsqsq-6m9sa-kmess-n3frx-9ow66,1
310,f3q5d-znd0z-rtol3-7xvu6-6nydi,1
311,lnc1b-gi57g-64v22-34ir2-jomjr,1
312,n83p2-7nv32-9pfen-pk0z6-3zcnj,1
313,2pvne-nyh40-1h9ip-wrwpj-x6wqz,1
314,1p0pk-p3rdp-vfywi-lq1u4-b8tdr,1
315,io46a-wtxoj-01cue-b4lkw-ucmx3,1
316,ic4af-73p0l-id9t5-em1aw-nsi72,1
317,m0c71-p2rtk-oqvt8-qjueu-4dowb,1
318,471fi-ior61-6s28l-yfhcr-6rl2p,1
319,8czl7-egfkr-5jp8a-jnr8f-5b29f,1
320,bxwf0-fke9q-lg03c-7tcd1-m2hrx,1
321,6lyz4-ep0xj-i6v1x-ihf3h-vtvc1,1
322,cuqrq-4metv-z5k7h-16ft2-cq56l,1
323,jiofw-eb4qw-81t99-wrdn4-dzx75,1
324,jy8l1-piecp-4z736-q2epq-zbgx0,1
325,9kzk7-y5c5t-s8z8v-l5xkx-9g81l,1
326,qheuu-bx6zc-10f1j-xsw7x-2gawg,1
327,qcpo6-hrvde-yvbcd-ky9vf-wid94,1
328,25koe-rn7a3-xx9xy-76ufy-seei8,1
329,rlk1w-f5zp5-2pjfd-pjh00-5uvop,1
330,47byv-lwvvi-ip7w4-uexac-adg1s,1
331,x32qf-oh1y7-x9pyk-x92fa-i76zo,1
332,k32ul-pm1ll-gfauk-9l9ch-50w2t,1
333,i7vy1-k0xuj-aa1gg-x77wg-7c9nc,1
334,i8kst-gb5h3-jaglo-y0h8y-q021a,1
335,k7j5n-gjl3p-mlebr-saqhk-xu28s,1
336,cpj7k-yl2na-s14hg-1zzyw-eijpk,1
337,yoj8t-8a2i7-75wcn-w66w6-q3l0y,1
338,e6wa5-3a9tn-wyhnt-4yg9o-kggza,1
339,6eq3p-wxe11-yr2t8-dwqja-hp9mj,1
340,av3nh-0qy0p-0s2f4-o90ft-imkd2,1
341,khmjg-v6y0r-8bdrz-pkauq-bb2mj,1
342,eyjsy-idwl6-sl9l9-z065m-ad1hn,1
343,vku7z-cow04-tdgyb-558dv-et14t,1
344,jwimj-aohpx-sil0d-qu2s0-t1inq,1
345,f29rf-8kdll-wsrqb-pvgy7-rki4l,1
346,rghxz-s3nml-c4ajn-f95ah-sm3kq,1
347,73s8o-fvlgl-u07ol-fxmca-mjkeq,1
348,usq1o-lfyyd-ebpwz-o9q7b-iv9sm,1
349,kblgz-krypi-hw5v9-otl46-m6do0,1
350,q71g9-f1y28-eu9t3-zojdb-y6bd7,1
351,vxi94-fypnk-1ifs2-hpqh0-x9h1h,1
352,9amwv-swpji-4ma5y-1sk9g-86olo,1
353,1vb76-m5wud-mldba-7gmxm-1j18x,1
354,f7j32-y6pbo-9bb2e-1aeag-ri0vf,1
355,j4njc-wppnz-i6asx-ywu9f-znopl,1
356,zk4vx-5nwkb-h1ios-e8ydi-69dly,1
357,a7arz-7o46l-bpzqb-a5zp4-xbsdb,1
358,u8ed4-71zdp-rqn28-sxjdx-xho80,1
359,lspgl-ke1b7-y8ei6-wfli9-d7vh1,1
360,dv0r6-elzfa-v08cb-nzzn9-dghrh,1
361,hn4nb-2m5bk-t83qs-4y1di-e6ut4,1
362,r7g2q-m2tfl-s79tr-rb9jo-5n550,1
363,thxvd-lxnp0-xs9jz-2r4zs-kr0xe,1
364,ylam4-zk51x-xdv9g-bbpab-s388j,1
365,l2jbd-9t7u8-y82j5-291gm-8c7gf,1
366,s8u9a-4pe86-dpzs5-p78ki-xv8yp,1
367,fn0xm-fucp6-r42vz-d5pcx-8nznk,1
368,izltx-mw5no-npkun-7ansd-7x3z7,1
369,tkutm-ii79g-vrw2x-2x5pj-2yiv1,1
370,piqcb-uipu7-9bkxf-42min-lvo5r,1
371,l8fiv-epld1-2vppg-yq4v5-fk7xy,1
372,e9sz7-m2jiy-fg0bc-1lze6-koecu,1
373,vzp1d-s81z8-jt9fg-wcegs-hpoex,1
374,eid6c-bu6yx-it58n-jd54w-6v03v,1
375,325f5-jpcah-43it6-hfon8-hz2wz,1
376,aq3uj-k9c5t-m6v61-fb5s4-oxd93,1
377,whz4z-tk6a6-3em8j-t6kkp-fv74a,1
378,3th6j-ev8g3-wpnex-v8ti2-0s4dl,1
