user_id,order_id,order_date,booking_date,order_status,dport,aport,dport_city,aport_city,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date
M101973364,D00000739,2022/1/17 21:44,2022/1/17 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M2380127764,D00000854,2022/1/20 13:32,2022/1/20 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M87420968,D00000765,2022/1/18 12:24,2022/1/18 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M452893369,D00000309,2022/1/7 23:04,2022/1/7 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M4223373792,D00000970,2022/1/23 14:35,2022/1/23 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M205167381,D00000995,2022/1/24 11:41,2022/1/24 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M2504837583,D00000962,2022/1/23 10:43,2022/1/23 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M2391491014,D00001107,2022/1/26 19:46,2022/1/26 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M203909358,D00000263,2022/1/6 23:12,2022/1/6 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M585817416,D00000753,2022/1/18 9:18,2022/1/18 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M510270849,D00000893,2022/1/21 12:58,2022/1/21 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M170692578,D00000949,2022/1/22 20:18,2022/1/22 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
