,device_id,repeat
198,kv2th-40ymq-nkqk8-8xfkz-umng9,1
199,4glb1-zoedr-ru481-d10y0-17zlk,1
200,zs299-jabbx-w4zjk-3w9is-5wyrg,1
201,eu44b-pny50-5nl28-vr1en-jnsuy,1
202,57c6r-yday5-y5ai4-18xp6-au6ai,1
203,kqylu-9cxv2-wkeh8-dt6b9-jkn5j,1
204,1mi9t-0orw0-tymx4-6ct35-xabqg,1
205,s0qiq-021x5-8vqzp-a6z1a-ki3py,1
206,52owb-1qnur-nab75-x5k6x-z9qjf,1
207,tnqlp-5bxzj-uhzpj-iexdm-w0u9u,1
208,llgus-2cs9k-1jcrh-x6di9-mop28,1
209,ndqra-asnjz-8a7x5-2r1sk-249n6,1
210,htcmx-mhufa-261du-skisp-ip1c9,1
211,roj0d-o26i8-2uajh-32yyo-xk9lt,1
212,5k27s-s95kw-6hgdo-0plla-gfw1w,1
213,wo72s-fvnnu-mjsf6-y0glt-h9fk2,1
214,yj4ak-scz5u-bgn6s-oe7yj-80ode,1
215,5117q-v5u6w-449hy-mprqt-yqaea,1
216,zuyyi-rg94l-bbm4i-j7x3f-u0kow,1
217,2op88-d4bgi-mm9eq-mmdro-xxbbx,1
218,gwf0s-3jaug-zyy4x-ujpkb-yvdiq,1
219,yticy-lj0yy-41u4f-r9z4e-dg21v,1
220,yi78r-st44d-x6was-iluib-h3dhu,1
221,70k14-s8tt7-mll9h-klvi2-nzl3s,1
222,zcoib-qsu3r-pi10u-jijpg-0xnya,1
223,3l4uh-wxp7b-gb8fk-3csyy-vowp7,1
224,yk810-0dhkk-ytkae-tissh-3wapc,1
225,8sbtw-rzzyp-0n4me-6lpu4-56jzo,1
226,9ev16-rdcou-ff33f-0wqkj-3k8qz,1
227,dllsz-nkq1t-19o0k-kkee4-zvg7t,1
228,9kxf1-u7ev0-i6x4e-juqyl-zu2pd,1
229,ccnow-0o45y-amjxl-cgbyv-wjpak,1
230,o3p2o-31g6a-ickrh-w84f8-3jdee,1
231,b1kdk-j30yl-vdpxq-uhn55-z27oa,1
232,zrzue-8uox9-k6r64-zklu6-215h4,1
233,u6qcz-hqino-dn3g8-f8387-53jjv,1
234,u31bt-i9ew1-y9la6-yi8bc-l6bed,1
235,dlzcd-hrdzq-3p9ao-lxmqu-nerdq,1
236,n8sj2-9yyy3-jzgoz-0fwt6-mrqvd,1
237,5pixk-l01sa-fgo4z-8dvfp-bkvpw,1
238,vasb0-39st2-ynmj8-0ifll-swlnv,1
239,1hfh8-s30xh-tzz94-yuznb-tecpu,1
240,3si7s-7kg1f-m2u5t-2ffmv-2t21a,1
241,k4a2w-tigio-7jdd5-iu70k-qduto,1
242,538tb-mt54t-a1xok-gkm3e-bazyg,1
243,ggxj9-61hgy-auvm9-52x89-zqdzt,1
244,jhtsq-rp8mp-5tfy5-1x9me-bz1jz,1
245,ys6sq-6iudp-mp98n-gszkw-7ci9q,1
246,a0w96-zyigk-oznq8-1mcgu-b7930,1
247,0hie4-t2j62-n6cd6-licqb-q8pmo,1
248,ixypz-ftt20-0y8ap-n63f4-noelb,1
249,xp0tc-9hg9v-6vt54-69mt8-4eecx,1
250,r9tz1-qromz-o4m3q-i57ep-szrtr,1
251,nzb6h-rlevy-urdxm-likc7-ripjo,1
252,f129t-pjrvr-yb7jt-uoh36-s64hs,1
253,hg6cz-q1hv1-b7o4a-6uffl-ih77l,1
254,xgxx8-lt6ku-3w7nf-0vb3q-kekpo,1
255,b6ph9-9s9fd-vdv1a-d9qbq-d6pn2,1
256,2p97l-797tl-syr3l-m0cc6-5m1wx,1
257,gc31w-o5wry-vjtgi-ev9d2-lbdnc,1
258,e5n0g-xg1fs-5nuac-j930f-so9sm,1
259,1fe7d-g8g56-ac7rc-vquz7-1r19p,1
260,gixxe-h642t-crk63-3f4s6-3ddib,1
261,p6z3i-l5ml6-iw06r-7lbnr-k8dds,1
262,jricc-dze23-2yv0o-5rk5c-spn0t,1
263,f7zjq-45vbo-eb5y5-89mwp-si9xh,1
264,311ty-om4mv-25x8f-807if-33v4b,1
265,zv603-kuryq-rfwr2-o5pw2-d1rll,1
266,p9ri5-qmzxl-lttva-2gpdi-qkfs7,1
267,jot0w-hfqdc-s2pri-2jfrr-zotsu,1
268,wusji-49ril-catd5-yj6b3-1iz4t,1
269,yc3mh-g8yah-3ti8n-s6jdm-5doj2,1
270,i7sqy-bwo34-83was-cppcp-vh096,1
271,mvnsd-d6881-tb2x0-dc1df-jyryn,1
272,biii3-xcsp4-0bm1h-623b5-iun4z,1
273,2h1yg-qpzr3-9np3z-ydphh-wznaq,1
274,x3o25-jqlvh-qwqba-kyk9a-ihbc9,1
275,fs8mv-817zo-wtb7l-1s49z-4pffl,1
276,c6vbp-1ls4h-c6c2q-86ktr-epyoa,1
277,8ugu6-fyjwb-7857p-6283h-vecmx,1
278,q3nz5-4cs96-ddk11-afp4m-mn30v,1
279,0mrw9-9hm8v-84n2t-vfri4-klmsm,1
280,cou9i-6vquh-ankoo-4iuv8-0k6hs,1
281,tdq6y-xikq5-m4lwi-r2a92-4036i,1
282,qk6ax-qsh2n-p9jlz-b670a-p938c,1
283,31nfa-lst8q-68uld-krt6i-xesis,1
284,y9ogg-j1uay-v9rft-l2sb2-swa3m,1
285,kzcu8-3fjew-u9i2e-fafmt-e92be,1
286,xr5p4-vt4lv-rdxex-mun2l-qvibl,1
287,0qzul-rpa6p-n1ysp-ukn6m-zvffl,1
288,pzcnt-pd4ej-l122x-nge7o-mc5l2,1
289,iannk-yml2f-s6wpr-3imnd-wpdq5,1
290,9q0lj-0rkiy-int1y-u3dfr-g7g3e,1
291,namp2-5j3kq-olt1b-y93xe-hb5et,1
292,ns3st-tej54-oz6vr-ji6lj-1z4m5,1
293,msk8a-uh9fc-qu64n-n40x1-gebu8,1
294,th1g7-gpqt9-ob8i4-enf2r-aqfnr,1
295,8lswx-um69c-6ehpd-ymvvu-lrmfn,1
296,9b9uw-qebpg-3ujlw-kyzs8-evqpa,1
297,ui9q4-io8mf-buqw8-xdows-mcbz8,1
298,j4htt-bhpey-xdt4c-qqsyv-fso3k,1
299,x4ime-u0w60-wtqew-u38v2-gcuiy,1
300,tkydj-pb5ds-db5c7-1jhm7-08yos,1
301,krexg-nllcc-3qetv-re3cl-kynv1,1
302,mfzwv-xjuep-m6rpc-t78kl-3k2g2,1
303,9s97r-8legz-ycl5h-rl2x7-2opl7,1
304,m0r5b-37e9n-6zk3s-em9gc-820pp,1
305,3b3hl-fe7yk-hnfbm-93hga-msngv,1
306,b0jas-8aj6x-8gek9-eni8r-voije,1
307,wgchg-3ahzx-dw0mq-hspfk-fusow,1
308,06jqe-b89n2-2dmir-7t62u-2kaha,1
309,hc1gu-9tgsq-xfd7x-ud81t-q2p10,1
310,tmxkb-vgj8t-zin0i-srit2-84k5y,1
311,2lmdd-qn1vq-wp1qc-p6g49-7cebb,1
312,1ze0u-1tzre-fahll-ye044-muhj5,1
313,6cklw-il9k9-1f0jx-dua1z-lizv1,1
314,mm8g6-cy6n4-wxiyn-2svbc-7dxk8,1
315,1l7s6-lxkk0-plgf8-qcfsp-dclsl,1
316,lip8z-p9t9p-4udzx-goh0h-phgec,1
317,0cy5b-5rmfa-fe0o2-r8vcv-arq4u,1
318,zrk0x-d3p0u-dlcyo-fag5y-v6lan,1
319,az00j-7o0zk-3ugex-1bq10-8icd9,1
320,cxpm4-2x7ka-q2d1a-vlvp5-ey321,1
321,o8pc3-16uw6-2gjbj-or3mg-21ng3,1
322,diae1-9cayo-a5a9h-nzvzf-dyhq3,1
323,re45z-hz2if-0n4n8-9ghe4-v030e,1
324,f9kwj-3zbm3-vdczg-yp6bx-ermp7,1
325,maixr-796s0-7hncf-8nrvw-c5dpz,1
326,ybt3d-msnbb-kupjv-duegn-ojoi9,1
327,4agz9-zsib5-z91zk-ws26n-thd42,1
328,g8mdw-x14by-cmcu6-ifwnl-9mjrw,1
329,2l37m-e07f7-lloin-egv3d-enveg,1
330,ok8tv-sg3ur-kf0ih-gpwtf-ifsvx,1
331,sacoe-6dgx9-7uheh-w8yay-eaf4t,1
332,axw03-k9isy-o2m2z-9tg3f-7kjnc,1
333,ldrgh-qfl71-672z5-27rbe-w1mk8,1
334,ecr18-6pdfo-ff218-ez3fi-yj6rw,1
335,z7niy-3rryi-8tai0-7d56h-onotf,1
336,86kgu-pyxij-yhy42-hv7zm-2kgf9,1
337,o6uiv-86jza-ijy91-aqnlm-ht9rm,1
338,kr3sm-h28dm-5herp-8z6lj-drzwp,1
339,85qj5-k9n6a-7qs2x-60sd7-o1g3x,1
340,nulaa-h7qbx-yc8q0-qlluf-jx00f,1
341,z2wye-2o16h-6htx1-vzr7n-4jk0h,1
342,g1r7y-2ngji-pfnli-w6rvl-hhbng,1
343,oy0nl-za8am-6detr-7zzeo-fe7fo,1
344,9zceo-7xa39-jmp1u-8n4n8-61jze,1
345,snhch-zw4ys-5h96s-8vfo4-7ca28,1
346,grx64-9914r-f1m9c-5dogd-v5mmn,1
347,cnc6f-gxwc1-t7cqj-es0wl-96uek,1
348,39tiy-71m3n-19reu-rb6od-m6426,1
349,1kxuu-p6j59-7nkv4-jgdqe-8hcme,1
350,3d0cr-83yix-wtatj-dav5a-lwl0o,1
351,htok9-3ds0q-8lncc-xl7kr-d7nn6,1
352,wp0iq-c0rk1-9g896-re42r-xlx35,1
353,q68nm-2qhab-efokh-s4aji-rktp0,1
354,yypsi-qyxmj-cdzb7-8oejq-8k1gm,1
355,h5o3m-fvths-c34g5-18dpn-edz0c,1
356,xn31f-bozs4-8qsqf-9zfa6-zgny3,1
357,qjo0w-wicql-y1ft7-aa4tl-xbpa9,1
358,i5b9d-2yv95-poeha-xguxw-pp8hv,1
359,3ubmj-tb3wp-sack6-0nkam-j83rv,1
360,xfbj8-pcr4d-4495t-cyam9-1ru36,1
361,j39uo-0jjkv-imm53-32ign-ra73g,1
362,bhn6t-7pwq1-fst9u-xme8h-zygab,1
363,hd4tc-v1byx-w3xbr-c5ckd-4xrma,1
364,iriok-h1guw-xuc7k-fdtrs-vhrh7,1
365,9tqm8-8za5s-b5syd-3igg6-7mhd8,1
366,p3vkv-w5v24-ozrrm-med0w-un8ov,1
367,gwdqa-cg1cw-h1x1h-4jy51-zyr1n,1
368,28wph-ad3oe-b7gg8-h1ci4-ctf8g,1
369,s1hja-qivez-ld73m-sqge8-009m5,1
370,z0rdt-ou6h1-m9lgc-e50tl-f75ke,1
371,iu1pt-yx247-ci1r2-5v7nr-njxuq,1
372,t1bpe-oo8b9-lk2u5-8s52t-8kdl0,1
373,642oj-oiinw-9ieez-10xut-ate7q,1
374,u36ge-rckot-zabh0-nzi1l-93pns,1
375,skp8m-afnsm-x2wy6-suiqw-d6wqz,1
376,qlydd-d31b5-1dhlj-tg0ua-9fldw,1
377,huvrq-5zbjc-wv41s-un85a-blvvc,1
378,xv5lj-x0e98-6itse-qir2y-gsy24,1
379,ajfvp-3z53v-w1qnz-53cem-vlg51,1
380,v4d30-78te7-pdgi5-hu2ve-e8sl2,1
381,342cy-sy162-7fphx-92fec-y31hd,1
